word,frequency,rank
known,60,256
person,60,256
behind,60,256
art,60,256
landlord,60,256
added,60,256
eat,60,256
lawrence,60,256
thank,60,256
buy,60,256
box,59,257
bow,59,257
king,59,257
free,59,257
party,59,257
use,59,257
taken,58,258
village,58,258
guinea,58,258
held,58,258
aside,58,258
tomorrow,58,258
felix,57,259
oft,57,259
state,57,259
countenance,57,259
help,57,259
arm,56,260
fresh,56,260
tarlton,56,260
paradise,56,260
justice,56,260
seat,56,260
says,56,260
sons,56,260
hard,56,260
making,56,260
fathers,56,260
remember,56,260
war,56,260
works,56,260
talb,55,261
together,55,261
john,55,261
j,55,261
worse,55,261
ladies,55,261
fellow,54,262
thence,54,262
turn,54,262
along,54,262
somers,54,262
sea,54,262
change,54,262
promised,54,262
repeated,54,262
powers,54,262
promise,53,263
obliged,53,263
sound,53,263
bit,52,264
bed,52,264
nobody,52,264
stopped,52,264
madam,51,265
short,51,265
ere,51,265
dr,51,265
green,51,265
peace,51,265
behold,50,266
carlo,50,266
maid,50,266
scarcely,50,266
field,50,266
ay,50,266
wait,50,266
praise,50,266
received,50,266
lad,50,266
angel,50,266
forget,50,266
lay,50,266
minute,50,266
cause,49,267
story,49,267
walk,49,267
sleep,49,267
bear,49,267
fit,49,267
fond,49,267
fixed,49,267
knowledge,49,267
judge,49,267
means,48,268
taught,48,268
delight,48,268
heavenly,48,268
meet,48,268
loud,48,268
law,48,268
pocket,48,268
company,48,268
try,48,268
sin,48,268
papa,48,268
send,48,268
safe,48,268
manner,48,268
throne,47,269
understand,47,269
instant,47,269
race,47,269
desire,47,269
four,47,269
character,47,269
looks,47,269
taking,46,270
paul,46,270
sorry,46,270
turning,46,270
proud,46,270
pretty,46,270
receive,46,270
observed,46,270
noise,46,270
gresham,46,270
doubt,46,270
created,46,270
laughing,46,270
ha,46,270
susans,46,270
force,45,271
course,45,271
table,45,271
guineahen,45,271
eternal,45,271
gentlemen,45,271
darkness,45,271
met,45,271
able,45,271
neither,45,271
rosamond,45,271
lest,45,271
maurice,45,271
burs,45,271
tone,45,271
horse,45,271
divine,45,271
angels,45,271
spoke,45,271
equal,44,272
bid,44,272
faith,44,272
heres,44,272
become,44,272
deal,44,272
shame,44,272
lived,44,272
foe,44,272
flowers,43,273
anne,43,273
ten,43,273
wonder,43,273
threw,43,273
ear,43,273
grace,43,273
key,43,273
fish,43,273
haste,43,273
human,42,274
sister,42,274
stop,42,274
lucy,42,274
servant,42,274
walked,42,274
dwell,42,274
meant,42,274
guineas,42,274
eden,42,274
uniform,42,274
whence,42,274
prize,42,274
wrong,42,274
usual,42,274
rule,42,274
sudden,42,274
sit,42,274
times,42,274
black,42,274
feel,42,274
silent,42,274
pure,41,275
hall,41,275
flight,41,275
broken,41,275
kept,41,275
second,41,275
mount,41,275
dinner,41,275
wings,41,275
mamma,41,275
year,41,275
hours,41,275
followed,41,275
